학생수_총계_계,교원수_총계_계
"85,213","6,958"
"424,800","28,992"
"216,330","17,743"
"165,341","13,374"
"37,824","2,791"
"43,912","4,507"
"12,477","1,212"
"4,352","1,573"
46,14
"3,257",441
292,0
"1,743",0
"44,361","3,592"
"152,775","10,170"
"77,021","6,325"
"55,440","4,788"
"9,304",835
"18,447","1,863"
"7,476",762
"1,817",686
118,28
0,31
175,0
416,0
"38,475","3,023"
"125,160","9,039"
"66,165","5,605"
"47,038","3,913"
"13,418","1,131"
"13,462","1,254"
"4,327",533
"1,621",545
68,74
397,0
561,0
"42,324","3,095"
"158,871","10,037"
"76,565","5,685"
"57,704","5,003"
"5,508",468
"17,788","1,696"
"3,916",542
"1,498",454
120,2
44,88
143,0
396,0
"24,609","1,969"
"88,622","6,084"
"45,437","3,742"
"42,365","3,110"
"2,355",192
"7,621",680
"1,550",238
"1,012",365
21,1
589,47
249,0
622,0
"24,012","2,004"
"83,453","6,030"
"42,675","3,490"
"30,905","2,675"
"7,560",563
"7,815",752
"3,052",380
"1,056",334
178,68
162,0
532,0
"18,545","1,270"
"67,290","4,229"
"31,906","2,704"
"27,018","2,282"
"2,026",177
"6,472",558
"2,171",327
775,272
27,17
126,0
220,0
"6,393",728
"24,865","1,793"
"10,070",988
"6,896",693
618,59
401,49
659,132
132,47
"189,645","14,230"
"752,499","45,201"
"358,438","25,680"
"320,852","26,403"
"10,912",889
"49,227","4,866"
"12,017","1,088"
"4,710","1,858"
35,5
"1,952",162
854,0
"1,587",0
"16,561","1,505"
"75,412","6,558"
"39,391","3,842"
"36,712","3,295"
453,42
"8,008","1,043"
"1,554",238
905,369
38,7
767,0
698,0
"17,568","1,597"
"85,344","6,646"
"41,869","3,848"
"29,417","2,218"
"4,310",363
"12,471","1,139"
"2,171",284
"1,262",444
619,83
50,0
458,0
"27,991","2,676"
"120,152","9,203"
"56,595","5,026"
"47,022","3,757"
"5,472",503
"10,513","1,112"
"2,502",325
"1,030",379
82,10
0,14
75,0
522,0
"24,297","2,421"
"97,606","8,126"
"50,859","4,701"
"45,568","3,809"
"2,843",178
"10,766","1,105"
"3,177",412
"1,148",388
0,0
243,0
281,0
"19,670","2,093"
"94,134","8,028"
"47,270","4,973"
"35,342","3,175"
"5,762",483
"14,609","1,699"
"2,536",366
"1,067",361
106,23
288,0
327,0
"38,961","3,174"
"129,290","10,168"
"63,540","6,387"
"52,496","4,569"
"7,518",635
"13,964","1,458"
"3,967",543
"1,459",462
"1,435",101
84,0
677,0
"51,276","4,032"
"191,016","13,623"
"90,851","7,664"
"79,126","6,629"
"7,409",657
"13,184","1,468"
"2,742",351
"1,563",556
29,0
265,30
230,58
442,0
542,0
"6,097",525
"40,096","2,757"
"19,306","1,503"
"17,089","1,162"
"3,600",370
399,54
453,157
129,0
299,0
